#{"t_start": 1753290495.435851, "env_id": "intersection-v0"}
r,l,t
-1.0,5,264.70241
-1.0,5,264.825248
0.0,6,264.951643
-1.372771,6,265.207974
0.0,6,265.3996
0.158681,6,265.514515
10.0,10,265.807627
0.0,6,265.983292
-1.0,5,266.095388
9.0,9,266.281585
0.0,6,266.461301
-1.0,5,266.613271
8.0,8,266.962244
7.61852,9,267.344107
1.0,6,267.603187
7.615917,9,267.94949
8.0,8,268.191919
0.0,6,268.372298
9.0,9,268.541909
0.0,5,268.681214
9.0,9,268.812411
9.0,9,269.032088
-1.299552,4,269.184686
9.0,9,269.47208
10.0,10,269.61338
-0.299923,5,269.730558
-0.841249,5,269.892336
-0.299923,5,270.097973
9.0,9,270.370684
0.0,6,270.517304
-0.299923,5,270.670775
9.0,9,270.94217
8.0,8,271.207366
-1.0,5,271.34986
8.617423,10,271.647316
0.0,6,271.92126
-1.0,4,271.990379
0.0,6,272.272417
9.0,9,272.474563
-1.0,5,272.741261
9.0,9,273.057162
9.0,9,273.371178
10.0,10,273.729815
1.0,7,273.872045
0.0,6,274.1031
10.0,10,274.440608
0.0,5,274.544793
0.0,6,274.762043
11.0,11,275.031699
-1.0,5,275.282361
-1.0,5,275.39513
10.0,10,275.788217
10.0,10,276.058552
10.0,10,276.333186
9.0,9,276.60621
9.0,9,276.897395
-1.379585,6,277.108766
-2.0,4,277.215624
9.0,9,277.419032
8.0,8,277.75051
-1.57953,4,277.914647
9.0,9,278.182313
0.0,6,278.308502
9.0,9,278.615414
9.0,9,278.842403
0.0,6,279.00793
8.0,8,279.30898
9.0,9,279.534419
-1.0,5,279.720877
0.0,6,279.884766
1.0,7,280.08975
9.0,9,280.33696
9.0,9,280.616577
-2.365057,5,280.79387
9.0,9,281.05355
2.0,8,281.377845
9.0,9,281.617233
8.615645,10,281.8828
8.615645,10,282.264646
10.0,10,282.515305
-2.0,3,282.62441
0.0,6,282.820918
-1.0,5,282.975046
-0.57992,5,283.198782
0.0,6,283.35812
10.0,10,283.761527
9.0,9,283.953689
9.0,9,284.212118
0.0,6,284.433037
9.0,9,284.775396
-2.0,4,284.966933
-2.0,4,285.108106
